"label","selec","start","end","path","file","threshold","ribbit"
"P",14,3165.75,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_144302.wav","hmm",0.0937029151019496
"P",2,78.25,270.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_154302.wav","hmm",0.281577070901843
"P",8,1356.75,1837.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_154302.wav","hmm",0.157297020218266
"P",13,2875.75,3061.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_154302.wav","hmm",0.251406043646259
"P",1,0.25,1355.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_164303.wav","hmm",0.0491766668286003
"P",2,3203.25,3597.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_164303.wav","hmm",0.117502568730672
"P",2,111.75,465.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_174302.wav","hmm",0.200905815627835
"P",5,940.25,1156.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_174302.wav","hmm",0.344972716031871
"P",17,2770.25,3302.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_174302.wav","hmm",0.128595869133623
"P",1,0.25,1869.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_184302.wav","hmm",0.117962246920443
"P",6,888.25,2074.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_054300.wav","hmm",0.132165653605705
"P",2,158.25,343.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_064302.wav","hmm",0.204154299759474
"P",11,1128.25,1416.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_064302.wav","hmm",0.162878878386829
"P",13,1256.75,1492.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_074303.wav","hmm",0.132212577885159
"P",1,1.75,242.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_084303.wav","hmm",0.480401606200124
"P",2,273.25,915.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_084303.wav","hmm",0.468796473164816
"P",1,0.25,208.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_094302.wav","hmm",0.126604687920266
"P",7,858.25,1079.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_094302.wav","hmm",0.088538401959316
"P",10,1803.25,2247.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_094302.wav","hmm",0.109445908174171
"P",14,3122.75,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_094302.wav","hmm",0.257249931713899
"P",1,0.25,296.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_104303.wav","hmm",0.214584269195442
"P",5,974.75,1342.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_104303.wav","hmm",0.149472913303352
"P",9,2521.75,2788.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_104303.wav","hmm",0.112997734368453
"P",1,84.75,311.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_114302.wav","hmm",0.204972755081833
