Species,Latin Name,Diet
环颈山鹧鸪,Arborophila torqueola,杂食性
四川山鹧鸪,Arborophila rufipectus,杂食性
红喉山鹧鸪,Arborophila rufogularis,杂食性
白眉山鹧鸪,Arborophila gingica,杂食性
白颊山鹧鸪,Arborophila atrogularis,杂食性
褐胸山鹧鸪,Arborophila brunneopectus,杂食性
台湾山鹧鸪,Arborophila crudigularis,杂食性
海南山鹧鸪,Arborophila ardens,杂食性
绿脚树鹧鸪,Tropicoperdix chloropus,杂食性
花尾榛鸡,Tetrastes bonasia,杂食性
斑尾榛鸡,Tetrastes sewerzowi,杂食性
镰翅鸡,Falcipennis falcipennis,杂食性
松鸡,Tetrao urogallus,杂食性
黑嘴松鸡,Tetrao urogalloides,杂食性
黑琴鸡,Lyrurus tetrix,杂食性
柳雷鸟,Lagopus lagopus,杂食性
岩雷鸟,Lagopus muta,杂食性
雪鹑,Lerwa lerwa,杂食性
红喉雉鹑,Tetraophasis obscurus,杂食性
黄喉雉鹑,Tetraophasis szechenyii,杂食性
暗腹雪鸡,Tetraogallus himalayensis,杂食性
藏雪鸡,Tetraogallus tibetanus,杂食性
阿尔泰雪鸡,Tetraogallus altaicus,杂食性
石鸡,Alectoris chukar,杂食性
大石鸡,Alectoris magna,杂食性
中华鹧鸪,Francolinus pintadeanus,杂食性
灰山鹑,Perdix perdix,杂食性
斑翅山鹑,Perdix dauurica,杂食性
高原山鹑,Perdix hodgsoniae,杂食性
西鹌鹑,Coturnix coturnix,杂食性
鹌鹑,Coturnix japonica,杂食性
蓝胸鹑,Synoicus chinensis,杂食性
棕胸竹鸡,Bambusicola fytchii,杂食性
灰胸竹鸡,Bambusicola thoracicus,杂食性
台湾竹鸡,Bambusicola sonorivox,杂食性
血雉,Ithaginis cruentus,杂食性
红胸角雉,Tragopan satyra,杂食性
黑头角雉,Tragopan melanocephalus,杂食性
灰腹角雉,Tragopan blythii,杂食性
红腹角雉,Tragopan temminckii,杂食性
黄腹角雉,Tragopan caboti,杂食性
勺鸡,Pucrasia macrolopha,杂食性
棕尾虹雉,Lophophorus impejanus,杂食性
白尾梢虹雉,Lophophorus sclateri,杂食性
绿尾虹雉,Lophophorus lhuysii,杂食性
红原鸡,Gallus gallus,杂食性
黑鹇,Lophura leucomelanos,杂食性
白鹇,Lophura nycthemera,杂食性
蓝腹鹇,Lophura swinhoii,杂食性
藏马鸡,Crossoptilon harmani,杂食性
白马鸡,Crossoptilon crossoptilon,杂食性
褐马鸡,Crossoptilon mantchuricum,杂食性
蓝马鸡,Crossoptilon auritum,杂食性
白颈长尾雉,Syrmaticus ellioti,杂食性
黑颈长尾雉,Syrmaticus humiae,杂食性
黑长尾雉,Syrmaticus mikado,杂食性
白冠长尾雉,Syrmaticus reevesii,杂食性
环颈雉,Phasianus colchicus,杂食性
红腹锦鸡,Chrysolophus pictus,杂食性
白腹锦鸡,Chrysolophus amherstiae,杂食性
灰孔雀雉,Polyplectron bicalcaratum,杂食性
海南孔雀雉,Polyplectron katsumatae,杂食性
绿孔雀,Pavo muticus,杂食性
红胸山鹧鸪,Arborophila mandellii,杂食性
栗树鸭,Dendrocygna javanica,杂食性
鸿雁,Anser cygnoid,杂食性
豆雁,Anser fabalis,杂食性
短嘴豆雁,Anser serrirostris,杂食性
灰雁,Anser anser,杂食性
白额雁,Anser albifrons,杂食性
小白额雁,Anser erythropus,杂食性
斑头雁,Anser indicus,杂食性
雪雁,Anser caerulescens,杂食性
加拿大雁,Branta canadensis,杂食性
小美洲黑雁,Branta hutchinsii,杂食性
黑雁,Branta bernicla,杂食性
白颊黑雁,Branta leucopsis,杂食性
红胸黑雁,Branta ruficollis,杂食性
疣鼻天鹅,Cygnus olor,杂食性
大天鹅,Cygnus cygnus,杂食性
小天鹅,Cygnus columbianus,杂食性
瘤鸭,Sarkidiornis melanotos,杂食性
翘鼻麻鸭,Tadorna tadorna,杂食性
赤麻鸭,Tadorna ferruginea,杂食性
鸳鸯,Aix galericulata,杂食性
棉凫,Nettapus coromandelianus,杂食性
赤膀鸭,Mareca strepera,杂食性
罗纹鸭,Mareca falcata,杂食性
赤颈鸭,Mareca penelope,杂食性
绿头鸭,Anas platyrhynchos,杂食性
棕颈鸭,Anas luzonica,杂食性
印度斑嘴鸭,Anas poecilorhyncha,杂食性
斑嘴鸭,Anas zonorhyncha,杂食性
针尾鸭,Anas acuta,杂食性
白眉鸭,Spatula querquedula,杂食性
绿翅鸭,Anas crecca,杂食性
琵嘴鸭,Spatula clypeata,杂食性
花脸鸭,Sibirionetta formosa,杂食性
云石斑鸭,Marmaronetta angustirostris,杂食性
赤嘴潜鸭,Netta rufina,杂食性
帆背潜鸭,Aythya valisineria,杂食性
红头潜鸭,Aythya ferina,杂食性
白眼潜鸭,Aythya nyroca,杂食性
青头潜鸭,Aythya baeri,杂食性
凤头潜鸭,Aythya fuligula,食肉
斑背潜鸭,Aythya marila,杂食性
小绒鸭,Polysticta stelleri,杂食性
丑鸭,Histrionicus histrionicus,食肉，食虫
黑海番鸭,Melanitta americana,杂食性
斑脸海番鸭,Melanitta fusca,杂食性
长尾鸭,Clangula hyemalis,食肉，食虫
鹊鸭,Bucephala clangula,食肉，食虫
斑头秋沙鸭,Mergellus albellus,食肉
红胸秋沙鸭,Mergus serrator,食肉，食虫
中华秋沙鸭,Mergus squamatus,食肉，食虫
白头硬尾鸭,Oxyura leucocephala,杂食性
普通秋沙鸭,Mergus merganser,食肉，食虫
绿眉鸭,Mareca americana,杂食性
小䴙䴘,Tachybaptus ruficollis,食肉，食虫
赤颈䴙䴘,Podiceps grisegena,食肉，食虫
凤头䴙䴘,Podiceps cristatus,食肉，食虫
角䴙䴘,Podiceps auritus,食肉，食虫
黑颈䴙䴘,Podiceps nigricollis,食虫，食肉
大红鹳,Phoenicopterus roseus,杂食性
原鸽,Columba livia,食种子
岩鸽,Columba rupestris,食种子，食果实
雪鸽,Columba leuconota,食种子，食果实
欧鸽,Columba oenas,食茎叶，食果实，食种子
斑尾林鸽,Columba palumbus,食果实，食种子，食茎叶
中亚鸽,Columba eversmanni,食果实、食种子
斑林鸽,Columba hodgsonii,杂食性
灰林鸽,Columba pulchricollis,食果实，食种子
紫林鸽,Columba punicea,食果实，食种子
黑林鸽,Columba janthina,食果实、食种子
欧斑鸠,Streptopelia turtur,食果实，食种子
山斑鸠,Streptopelia orientalis,杂食性
火斑鸠,Streptopelia tranquebarica,杂食性
灰斑鸠,Streptopelia decaocto,杂食性
棕斑鸠,Streptopelia senegalensis,食果实，食种子
珠颈斑鸠,Streptopelia chinensis,杂食性
斑尾鹃鸠,Macropygia unchall,食果实，食种子
菲律宾鹃鸠,Macropygia tenuirostris,食果实，食种子
小鹃鸠,Macropygia ruficeps,食果实，食种子
绿翅金鸠,Chalcophaps indica,食果实，食种子
橙胸绿鸠,Treron bicinctus,食果实，食种子
灰头绿鸠,Treron pompadora,食果实，食种子
厚嘴绿鸠,Treron curvirostra,食果实，食种子
黄脚绿鸠,Treron phoenicopterus,食果实，食种子
针尾绿鸠,Treron apicauda,食果实
楔尾绿鸠,Treron sphenurus,食果实，食种子
红翅绿鸠,Treron sieboldii,食果实，食种子
红顶绿鸠,Treron formosae,食果实，食种子
黑颏果鸠,Ptilinopus leclancheri,食茎叶，食果实
绿皇鸠,Ducula aenea,食果实
山皇鸠,Ducula badia,食果实，食种子
西藏毛腿沙鸡,Syrrhaptes tibetanus,杂食性
毛腿沙鸡,Syrrhaptes paradoxus,食茎叶，食果实，食种子
黑腹沙鸡,Pterocles orientalis,杂食性
黑顶蛙口夜鹰,Batrachostomus hodgsoni,食肉，食虫
普通夜鹰,Caprimulgus indicus,食虫
欧夜鹰,Caprimulgus europaeus,食虫
毛腿夜鹰,Lyncornis macrotis,食虫
埃及夜鹰,Caprimulgus aegyptius,食虫
中亚夜鹰,Caprimulgus centralasicus,食虫
长尾夜鹰,Caprimulgus macrurus,食虫
林夜鹰,Caprimulgus affinis,食虫
凤头雨燕,Hemiprocne coronata,食虫
爪哇金丝燕,Aerodramus fuciphagus,食虫
短嘴金丝燕,Aerodramus brevirostris,食虫
白喉针尾雨燕,Hirundapus caudacutus,食虫
灰喉针尾雨燕,Hirundapus cochinchinensis,食虫
大金丝燕,Aerodramus maximus,食虫
褐背针尾雨燕,Hirundapus giganteus,食虫
紫针尾雨燕,Hirundapus celebensis,食虫
棕雨燕,Cypsiurus balasiensis,食虫
高山雨燕,Tachymarptis melba,食虫
普通雨燕,Apus apus,食虫
白腰雨燕,Apus pacificus,食虫
小白腰雨燕,Apus nipalensis,食虫
暗背雨燕,Apus acuticauda,NA
褐翅鸦鹃,Centropus sinensis,食虫，食肉
小鸦鹃,Centropus bengalensis,食虫
绿嘴地鹃,Phaenicophaeus tristis,食虫
斑翅凤头鹃,Clamator Jacobinus,食虫
红翅凤头鹃,Clamator coromandus,食虫
翠金鹃,Chrysococcyx maculatus,食虫
噪鹃,Eudynamys scolopaceus,杂食性
栗斑杜鹃,Cacomantis sonneratii,食虫
紫金鹃,Chrysococcyx xanthorhynchus,食虫
八声杜鹃,Cacomantis merulinus,食虫
乌鹃,Surniculus lugubris,食虫
大鹰鹃,Hierococcyx sparverioides,食虫
普通鹰鹃,Hierococcyx varius,食虫
北棕腹鹰鹃,Hierococcyx hyperythrus,食虫
棕腹鹰鹃,Hierococcyx nisicolor,食虫
小杜鹃,Cuculus poliocephalus,食虫
四声杜鹃,Cuculus micropterus,食虫
大杜鹃,Cuculus canorus,食虫
东方中杜鹃,Cuculus optatus,食虫
中杜鹃,Cuculus saturatus,食虫
大鸨,Otis tarda,杂食性
波斑鸨,Chlamydotis macqueenii,杂食性
小鸨,Tetrax tetrax,杂食性
花田鸡,Coturnicops exquisitus,杂食性
红脚斑秧鸡,Rallina fasciata,杂食性
白喉斑秧鸡,Rallina eurizonoides,食虫，食肉
灰胸秧鸡,Lewinia striata,杂食性
普通秧鸡,Rallus indicus,杂食性
西秧鸡,Rallus aquaticus,杂食性
长脚秧鸡,Crex crex,杂食性
棕背田鸡,Zapornia bicolor,食虫
斑胸田鸡,Porzana porzana,食虫，食肉
红脚田鸡,Zapornia akool,NA
姬田鸡,Zapornia parva,杂食性
小田鸡,Zapornia pusilla,食虫，食肉
红胸田鸡,Zapornia fusca,杂食性
斑胁田鸡,Zapornia paykullii,杂食性
白眉苦恶鸟,Amaurornis cinerea,杂食性
董鸡,Gallicrex cinerea,杂食性
紫水鸡,Porphyrio porphyrio,杂食性
黑水鸡,Gallinula chloropus,杂食性
白骨顶,Fulica atra,杂食性
白胸苦恶鸟,Amaurornis phoenicurus,杂食性
白鹤,Grus leucogeranus,杂食性
沙丘鹤,Grus canadensis,杂食性
赤颈鹤,Grus antigone,杂食性
白枕鹤,Grus vipio,杂食性
蓑羽鹤,Grus virgo,杂食性
灰鹤,Grus grus,杂食性
丹顶鹤,Grus japonensis,杂食性
白头鹤,Grus monacha,杂食性
黑颈鹤,Grus nigricollis,杂食性
石鸻,Burhinus oedicnemus,食肉，食虫
大石鸻,Esacus recurvirostris,食肉
蛎鹬,Haematopus ostralegus,食肉，食虫
鹮嘴鹬,Ibidorhyncha struthersii,食虫，食肉
黑翅长脚鹬,Himantopus himantopus,食肉，食虫
反嘴鹬,Recurvirostra avosetta,食肉，食虫
凤头麦鸡,Vanellus vanellus,杂食性
距翅麦鸡,Vanellus duvaucelii,食虫，食肉
灰头麦鸡,Vanellus cinereus,杂食性
肉垂麦鸡,Vanellus indicus,食虫、食肉
黄颊麦鸡,Vanellus gregarius,食虫、食肉
白尾麦鸡,Vanellus leucurus,NA
欧金鸻,Pluvialis apricaria,NA
金鸻,Pluvialis fulva,食虫，食肉
灰鸻,Pluvialis squatarola,食虫，食肉
剑鸻,Charadrius hiaticula,食肉
长嘴剑鸻,Charadrius placidus,杂食性
金眶鸻,Charadrius dubius,食虫
环颈鸻,Charadrius alexandrinus,食虫，食肉
蒙古沙鸻,Charadrius mongolus,食虫，食肉
铁嘴沙鸻,Charadrius leschenaultii,食虫
东方鸻,Charadrius veredus,食虫
红胸鸻,Charadrius asiaticus,杂食性
小嘴鸻,Eudromias morinellus,食虫，食肉
彩鹬,Rostratula benghalensis,杂食性
水雉,Hydrophasianus chirurgus,杂食性
铜翅水雉,Metopidius indicus,杂食性
丘鹬,Scolopax rusticola,杂食性
孤沙锥,Gallinago solitaria,杂食性
林沙锥,Gallinago nemoricola,食虫
姬鹬,Lymnocryptes minimus,食虫
拉氏沙锥,Gallinago hardwickii,杂食性
大沙锥,Gallinago megala,食虫
扇尾沙锥,Gallinago gallinago,食虫
长嘴半蹼鹬,Limnodromus scolopaceus,食虫
半蹼鹬,Limnodromus semipalmatus,食虫
黑尾塍鹬,Limosa limosa,食虫
斑尾塍鹬,Limosa lapponica,食虫
小杓鹬,Numenius minutus,杂食性
中杓鹬,Numenius phaeopus,食虫
白腰杓鹬,Numenius arquata,食虫
大杓鹬,Numenius madagascariensis,食虫
鹤鹬,Tringa erythropus,食虫
红脚鹬,Tringa totanus,食虫
泽鹬,Tringa stagnatilis,食虫
青脚鹬,Tringa nebularia,食虫
小青脚鹬,Tringa guttifer,食肉
白腰草鹬,Tringa ochropus,食虫
林鹬,Tringa glareola,食虫
小黄脚鹬,Tringa flavipes,食肉，食虫
漂鹬,Tringa incana,食肉，食虫
灰尾漂鹬,Tringa brevipes,食虫
翘嘴鹬,Xenus cinereus,食虫
矶鹬,Actitis hypoleucos,食虫
翻石鹬,Arenaria interpres,杂食性
大滨鹬,Calidris tenuirostris,食虫
红腹滨鹬,Calidris canutus,杂食性
三趾滨鹬,Calidris alba,杂食性
西滨鹬,Calidris mauri,食肉，食虫
勺嘴鹬,Calidris pygmeus,食虫
红颈滨鹬,Calidris ruficollis,食虫
小滨鹬,Calidris minuta,食肉，食虫
青脚滨鹬,Calidris temminckii,食虫
长趾滨鹬,Calidris subminuta,食虫
白腰滨鹬,Calidris fuscicollis,NA
黄胸滨鹬,Calidris subruficollis,NA
斑胸滨鹬,Calidris melanotos,杂食性
尖尾滨鹬,Calidris acuminata,食虫
阔嘴鹬,Calidris falcinellus,食虫
流苏鹬,Calidris pugnax,食虫
弯嘴滨鹬,Calidris ferruginea,食虫
岩滨鹬,Calidris ptilocnemis,食肉，食虫
高跷鹬,Calidris himantopus,食肉
黑腹滨鹬,Calidris alpina,食虫
红颈瓣蹼鹬,Phalaropus lobatus,食虫
灰瓣蹼鹬,Phalaropus fulicarius,食虫
针尾沙锥,Gallinago stenura,食虫
林三趾鹑,Turnix sylvaticus,杂食性
黄脚三趾鹑,Turnix tanki,杂食性
棕三趾鹑,Turnix suscitator,杂食性
领燕鸻,Glareola pratincola,食虫
普通燕鸻,Glareola maldivarum,食虫，食肉
灰燕鸻,Glareola lactea,食虫
黑翅燕鸻,Glareola nordmanni,食虫
白顶玄燕鸥,Anous stolidus,食肉
白燕鸥,Gygis alba,NA
叉尾鸥,Xema sabini,食肉
三趾鸥,Rissa tridactyla,食肉
细嘴鸥,Chroicocephalus genei,食肉、食虫
棕头鸥,Chroicocephalus brunnicephalus,食肉，食虫
红嘴鸥,Chroicocephalus ridibundus,食肉，食虫，食腐
澳洲红嘴鸥,Chroicocephalus novaehollandiae,食腐
黑嘴鸥,Saundersilarus saundersi,食虫
遗鸥,Ichthyaetus relictus,食肉，食虫
小鸥,Hydrocoloeus minutus,食虫
弗氏鸥,Leucophaeus pipixcan,NA
楔尾鸥,Rhodostethia rosea,食肉
渔鸥,Ichthyaetus ichthyaetus,食肉，食虫
黑尾鸥,Larus crassirostris,食肉，食腐
普通海鸥,Larus canus,食肉，食虫
灰翅鸥,Larus glaucescens,食肉，食虫，食腐
北极鸥,Larus hyperboreus,食肉，食虫，食腐
西伯利亚银鸥,Larus smithsonianus,食肉
小黑背银鸥,Larus fuscus,食肉
黄腿银鸥,Larus cachinnans,食肉
灰背鸥,Larus schistisagus,食腐，食肉
鸥嘴噪鸥,Gelochelidon nilotica,食虫，食肉
红嘴巨燕鸥,Hydroprogne caspia,食肉
小凤头燕鸥,Thalasseus bengalensis,食肉
大凤头燕鸥,Thalasseus bergii,食肉
中华凤头燕鸥,Thalasseus bernsteini,食肉
白嘴端凤头燕鸥,Thalasseus sandvicensis,食肉
白额燕鸥,Sternula albifrons,食肉，食虫
白腰燕鸥,Onychoprion aleuticus,食肉
褐翅燕鸥,Onychoprion anaethetus,食肉
乌燕鸥,Onychoprion fuscatus,食肉
河燕鸥,Sterna aurantia,食肉，食虫
粉红燕鸥,Sterna dougallii,食肉
黑枕燕鸥,Sterna sumatrana,食肉
普通燕鸥,Sterna hirundo,食肉，食虫
黑腹燕鸥,Sterna acuticauda,食肉，食虫
灰翅浮鸥,Chlidonias hybrida,食肉，食虫
白翅浮鸥,Chlidonias leucopterus,食肉，食虫
黑浮鸥,Chlidonias niger,食肉，食虫
剪嘴鸥,Rynchops albicollis,食肉
南极贼鸥,Stercorarius maccormicki,食肉
中贼鸥,Stercorarius pomarinus,食肉，食腐
短尾贼鸥,Stercorarius parasiticus,食肉
长尾贼鸥,Stercorarius longicaudus,食肉，食虫，食腐
长嘴斑海雀,Brachyramphus perdix,食肉
崖海鸦,Uria aalge,食肉
冠海雀,Synthliboramphus wumizusume,食肉
扁嘴海雀,Synthliboramphus antiquus,食肉
角嘴海雀,Cerorhinca monocerata,食肉
红嘴鹲,Phaethon aethereus,食肉
红尾鹲,Phaethon rubricauda,食肉
白尾鹲,Phaethon lepturus,食肉
红喉潜鸟,Gavia stellata,食肉，食虫
黑喉潜鸟,Gavia arctica,食肉，食虫
太平洋潜鸟,Gavia pacifica,食肉
黄嘴潜鸟,Gavia adamsii,食肉
短尾信天翁,Phoebastria albatrus,食肉
黑脚信天翁,Phoebastria nigripes,食肉、废弃的食物和垃圾
黑背信天翁,Phoebastria immutabilis,食肉、废弃物品
白腰叉尾海燕,Hydrobates leucorhous,食肉、废弃物品
褐翅叉尾海燕,Hydrobates tristrami,NA
黑叉尾海燕,Hydrobates monorhis,食肉
黄蹼洋海燕,Oceanites oceanicus,食肉
暴风鹱,Fulmarus glacialis,食肉
钩嘴圆尾鹱,Pseudobulweria rostrata,食肉
白额圆尾鹱,Pterodroma hypoleuca,食肉
褐燕鹱,Bulweria bulwerii,食肉
白额鹱,Calonectris leucomelas,食肉
楔尾鹱,Ardenna pacificus,食肉
淡足鹱,Ardenna carneipes,NA
灰鹱,Ardenna grisea,食肉
短尾鹱,Ardenna tenuirostris,食肉
钳嘴鹳,Anastomus oscitans,食肉
黑鹳,Ciconia nigra,食肉，食虫
白鹳,Ciconia ciconia,食肉，食虫
东方白鹳,Ciconia boyciana,食肉，食虫
彩鹳,Mycteria leucocephala,杂食
秃鹳,Leptoptilos javanicus,食肉
白颈鹳,Ciconia episcopus,NA
白斑军舰鸟,Fregata ariel,食肉
白腹军舰鸟,Fregata andrewsi,食肉
黑腹军舰鸟,Fregata minor,食肉
蓝脸鲣鸟,Sula dactylatra,食肉
红脚鲣鸟,Sula sula,食肉
褐鲣鸟,Sula leucogaster,食肉
黑颈鸬鹚,Microcarbo niger,食肉
普通鸬鹚,Phalacrocorax carbo,食肉
红脸鸬鹚,Phalacrocorax urile,食肉
海鸬鹚,Phalacrocorax pelagicus,食肉
绿背鸬鹚,Phalacrocorax capillatus,食肉
黑头白鹮,Threskiornis melanocephalus,杂食性
朱鹮,Nipponia nippon,食肉，食虫
白琵鹭,Platalea leucorodia,食肉，食虫
黑脸琵鹭,Platalea minor,食肉，食虫
彩鹮,Plegadis falcinellus,食肉
白肩黑鹮,Pseudibis davisoni,NA
海南鳽,Gorsachius magnificus,食肉，食虫
黑冠鳽,Gorsachius melanolophus,食肉，食虫
小苇鳽,Ixobrychus minutus,食肉，食虫
黄斑苇鳽,Ixobrychus sinensis,食肉，食虫
紫背苇鳽,Ixobrychus eurhythmus,食肉，食虫
栗苇鳽,Ixobrychus cinnamomeus,食肉，食虫
黑苇鳽,Ixobrychus flavicollis,食肉，食虫
大麻鳽,Botaurus stellaris,食肉，食虫
栗头鳽,Gorsachius goisagi,食肉
苍鹭,Ardea cinerea,食肉，食虫
草鹭,Ardea purpurea,食肉，食虫
大白鹭,Ardea alba,食虫，食肉
中白鹭,Ardea intermedia,食肉，食虫
牛背鹭,Bubulcus ibis,食虫，食肉
池鹭,Ardeola bacchus,食肉，食虫
绿鹭,Butorides striata,食肉，食虫
夜鹭,Nycticorax nycticorax,食肉，食虫
棕夜鹭,Nycticorax caledonicus,食肉，食虫
印度池鹭,Ardeola grayii,食肉
爪哇池鹭,Ardeola speciosa,食肉
白腹鹭,Ardea insignis,食肉
斑鹭,Egretta picata,NA
白脸鹭,Egretta novaehollandiae,NA
白鹭,Egretta garzetta,食肉，食虫
黄嘴白鹭,Egretta eulophotes,食肉，食虫
岩鹭,Egretta sacra,食肉，食虫
白鹈鹕,Pelecanus onocrotalus,食肉
卷羽鹈鹕,Pelecanus crispus,食肉
斑嘴鹈鹕,Pelecanus philippensis,食肉
鹗,Pandion haliaetus,食肉
黑翅鸢,Elanus caeruleus,食肉，食虫
胡兀鹫,Gypaetus barbatus,食腐
白兀鹫,Neophron percnopterus,食肉
鹃头蜂鹰,Pernis apivorus,食肉
褐冠鹃隼,Aviceda jerdoni,食肉，食虫
黑冠鹃隼,Aviceda leuphotes,食虫，食肉
凤头蜂鹰,Pernis ptilorhynchus,食虫
兀鹫,Gyps fulvus,食腐
黑兀鹫,Sarcogyps calvus,食腐
白背兀鹫,Gyps bengalensis,食肉、食虫
长嘴兀鹫,Gyps indicus,食肉
高山兀鹫,Gyps himalayensis,食腐
秃鹫,Aegypius monachus,食腐
短趾雕,Circaetus gallicus,食肉
蛇雕,Spilornis cheela,食肉
棕腹隼雕,Lophotriorchis kienerii,食肉
鹰雕,Nisaetus nipalensis,食肉，食虫
凤头鹰雕,Nisaetus cirrhatus,食肉
林雕,Ictinaetus malaiensis,食肉，食虫
乌雕,Clanga clanga,食肉，食腐
草原雕,Aquila nipalensis,食肉，食虫，食腐
靴隼雕,Hieraaetus pennatus,食肉
白肩雕,Aquila heliaca,食肉，食腐
金雕,Aquila chrysaetos,食肉，食腐
白腹隼雕,Aquila fasciata,食肉，食虫
凤头鹰,Accipiter trivirgatus,食肉，食虫
褐耳鹰,Accipiter badius,食肉，食虫
赤腹鹰,Accipiter soloensis,食肉，食虫
日本松雀鹰,Accipiter gularis,食肉，食虫
松雀鹰,Accipiter virgatus,食肉，食虫
雀鹰,Accipiter nisus,食肉，食虫
苍鹰,Accipiter gentilis,食肉
白头鹞,Circus aeruginosus,食肉，食腐
白腹鹞,Circus spilonotus,食肉，食腐
白尾鹞,Circus cyaneus,食肉，食虫
草原鹞,Circus macrourus,食肉，食虫
鹊鹞,Circus melanoleucos,食肉，食虫
乌灰鹞,Circus pygargus,食肉，食虫
黑鸢,Milvus migrans,食肉，食虫
栗鸢,Haliastur indus,食肉，食虫
白腹海雕,Haliaeetus leucogaster,食肉，食腐
玉带海雕,Haliaeetus leucoryphus,食肉
白尾海雕,Haliaeetus albicilla,食肉，食腐
虎头海雕,Haliaeetus pelagicus,食肉，食腐
渔雕,Ichthyophaga humilis,食肉
白眼鵟鹰,Butastur teesa,食肉、食虫
棕翅鵟鹰,Butastur liventer,食肉
灰脸鵟鹰,Butastur indicus,食肉，食虫，食腐
毛脚鵟,Buteo lagopus,食肉
普通鵟,Buteo japonicus,食肉
棕尾鵟,Buteo rufinus,食肉，食腐
大鵟,Buteo hemilasius,食肉
欧亚鵟,Buteo buteo,食肉
喜山鵟,Buteo refectus,食肉
黄嘴角鸮,Otus spilocephalus,食肉
西红角鸮,Otus scops,食肉，食虫
红角鸮,Otus sunia,食肉，食虫
领角鸮,Otus lettia,食肉，食虫
北领角鸮,Otus semitorques,NA
纵纹角鸮,Otus brucei,食肉，食虫
优雅角鸮,Otus elegans,食肉，食虫
雪鸮,Bubo scandiacus,食肉
雕鸮,Bubo bubo,食肉
林雕鸮,Bubo nipalensis,食肉
毛腿雕鸮,Bubo blakistoni,食肉
褐渔鸮,Ketupa zeylonensis,食肉，食虫
黄腿渔鸮,Ketupa flavipes,食肉
褐林鸮,Strix leptogrammica,食肉
灰林鸮,Strix aluco,食肉，食虫
长尾林鸮,Strix uralensis,食肉，食虫
四川林鸮,Strix davidi,食肉，食虫
乌林鸮,Strix nebulosa,食肉
猛鸮,Surnia ulula,食肉
花头鸺鹠,Glaucidium passerinum,食肉，食虫
领鸺鹠,Glaucidium brodiei,食肉，食虫
斑头鸺鹠,Glaucidium cuculoides,食虫，食肉
纵纹腹小鸮,Athene noctua,食虫，食肉
横斑腹小鸮,Athene brama,食虫，食肉
鬼鸮,Aegolius funereus,食肉，食虫
鹰鸮,Ninox scutulata,食肉，食虫
长耳鸮,Asio otus,食肉，食虫
短耳鸮,Asio flammeus,食肉，食虫
日本鹰鸮,Ninox japonica,食肉，食虫
仓鸮,Tyto alba,食肉
栗鸮,Phodilus badius,食肉
草鸮,Tyto longimembris,食肉，食虫
橙胸咬鹃,Harpactes oreskios,杂食性
红头咬鹃,Harpactes erythrocephalus,杂食性
红腹咬鹃,Harpactes wardi,食虫
白喉犀鸟,Anorrhinus austeni,杂食性
棕颈犀鸟,Aceros nipalensis,杂食性
花冠皱盔犀鸟,Rhyticeros undulatus,杂食性
冠斑犀鸟,Anthracoceros albirostris,杂食性
双角犀鸟,Buceros bicornis,杂食性
戴胜,Upupa epops,食虫
彩虹蜂虎,Merops ornatus,食虫
赤须蜂虎,Nyctyornis amictus,食虫
蓝须蜂虎,Nyctyornis athertoni,食虫
绿喉蜂虎,Merops orientalis,食虫
蓝喉蜂虎,Merops viridis,食虫
栗喉蜂虎,Merops philippinus,食虫
蓝颊蜂虎,Merops persicus,食虫
栗头蜂虎,Merops leschenaultia,食虫
黄喉蜂虎,Merops apiaster,食虫
蓝胸佛法僧,Coracias garrulus,食虫，食肉
棕胸佛法僧,Coracias benghalensis,食虫
三宝鸟,Eurystomus orientalis,食虫
三趾翠鸟,Ceyx erithaca,食肉
鹳嘴翡翠,Pelargopsis capensis,食肉，食虫
赤翡翠,Halcyon coromanda,食肉，食虫
蓝翡翠,Halcyon pileata,食肉，食虫
白胸翡翠,Halcyon smyrnensis,食肉，食虫
白领翡翠,Todiramphus chloris,食肉，食虫
普通翠鸟,Alcedo atthis,食肉
蓝耳翠鸟,Alcedo meninting,食肉，食虫
斑头大翠鸟,Alcedo hercules,食虫，食肉
冠鱼狗,Megaceryle lugubris,食肉
斑鱼狗,Ceryle rudis,食肉，食虫
大拟啄木鸟,Psilopogon virens,杂食性
绿拟啄木鸟,Psilopogon lineatus,杂食性
金喉拟啄木鸟,Psilopogon franklinii,杂食性
黄纹拟啄木鸟,Psilopogon faiostrictus,杂食性
黑眉拟啄木鸟,Psilopogon faber,杂食性
台湾拟啄木鸟,Psilopogon nuchalis,杂食性
蓝喉拟啄木鸟,Psilopogon asiaticus,杂食性
蓝耳拟啄木鸟,Psilopogon australis,杂食性
赤胸拟啄木鸟,Psilopogon haemacephalus,杂食性
黄腰响蜜䴕,Indicator xanthonotus,食虫
蚁䴕,Jynx torquilla,食虫
斑姬啄木鸟,Picumnus innominatus,食虫
白眉棕啄木鸟,Sasia ochracea,食虫
星头啄木鸟,Dendrocopos canicapillus,食虫
小星头啄木鸟,Dendrocopos kizuki,食虫
小斑啄木鸟,Dendrocopos minor,食虫
棕腹啄木鸟,Dendrocopos hyperythrus,食虫
纹腹啄木鸟,Dendrocopos macei,食虫
纹胸啄木鸟,Dendrocopos atratus,杂食性
褐额啄木鸟,Dendrocopos auriceps,杂食性
赤胸啄木鸟,Dendrocopos cathpharius,食虫
黄颈啄木鸟,Dendrocopos darjellensis,食虫
